Klass;Ordning;Familj;Art;Kön;Latinskt namn;Lokal;Län;Datum;Bild;Kommentar;
;Gömfröiga;Lövträd;Vårtbjörk;;Betula pendula;Böda;Öland;2017-08-02;image407.jpg;;
;Gömfröiga;Lövträd;Glasbjörk;;Betula pubescens;;;;;;
;Gömfröiga;Lövträd;Gråal;;Alnus incana;;;;;;
;Gömfröiga;Lövträd;Klibbal;;Alnus glutinosa;;;;;;
;Gömfröiga;Lövträd;Avenbok;;Carpinus betulus;;;;;;
;Gömfröiga;Lövträd;Hassel;;Corylus avellana;Lilla Horn;Öland;2017-08-03;image408.jpg;;
;Gömfröiga;Lövträd;Asp;;Populus tremula;;;;;;
;Gömfröiga;Lövträd;Knäckepil;;Salix fragilis;Djurgården;Uppland;2018-09-04;image440.jpg;;
;Gömfröiga;Lövträd;Sälg;;Salix caprea;;;;;;
;Gömfröiga;Lövträd;Lönn;;Acer platanoides;Djurgården;Uppland;2018-09-04;image441.jpg;;
;Gömfröiga;Lövträd;Lind;;Tilia cordata;Lindreservatet;Öland;2018-05-22;image480.jpg;;
;Gömfröiga;Lövträd;Ask;;Fraxinus excelsioar;;;;;;
;Gömfröiga;Lövträd;Syren;;Syringa vulgaris;Källahamn;Öland;2018-05-21;image412.jpg;;
Fröväxter;Gömfröiga;Höga buskar;Gråvide;;Salix cinerea;;;;;;
;Gömfröiga;Höga buskar;Jolster;;Salix pentandra;;;;;;
;Gömfröiga;Höga buskar;Berberis;;Berberis vulgaris;;;;;;
;Gömfröiga;Höga buskar;Slån;;Prunus spinosa;Trollskogen;Öland;2017-08-05;image414.jpg;;
;Gömfröiga;Höga buskar;Oxbär;;Cotoeaster integerrimus;;;;;;
;Gömfröiga;Höga buskar;Ölandstok;;Potenilla fruticosa;Källhagen;Sörmland;2018-08-28;image438.jpg;;
;Gömfröiga;Höga buskar;Hallon;;Rubus idaeus;Eriksvik;Sörmland;2023-07-18;image531.jpg;;
;Gömfröiga;Höga buskar;Björnbär;;Rubus fruticosa;Böda;Öland;2017-08-02;image417.jpg;;
;Gömfröiga;Höga buskar;Nyponros;;Rosa dumalis;Djurgården;Uppland;2018-09-04;image443.jpg;;
